Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
5,14,180.0,359.0,289.5
5,15,124.0,444.0,298.5
5,16,100.0,669.0,330.0
5,17,135.0,463.0,327.0
5,18,95.0,420.0,294.0
5,19,119.0,386.0,316.5
5,20,149.0,713.0,289.5
5,21,148.0,650.0,304.5
5,22,125.0,311.0,261.0
5,23,135.0,530.0,309.0
5,24,144.0,622.0,303.0
5,25,181.0,253.0,297.0
5,26,148.0,710.0,292.5
5,27,134.0,401.0,316.5
5,28,134.0,388.0,303.0
5,29,120.0,458.0,283.5
5,30,105.0,402.0,283.5
5,31,124.0,628.0,291.0
5,32,144.0,535.0,301.5
5,33,133.0,673.0,306.0
5,34,105.0,462.0,280.5
5,35,110.0,460.0,280.5
5,36,99.0,463.0,297.0
5,37,94.0,431.0,273.0
5,38,179.0,479.0,294.0
5,39,119.0,446.0,291.0
5,40,142.0,459.0,264.0
5,41,150.0,343.0,331.5
5,42,178.0,476.0,316.5
5,43,179.0,636.0,325.5
5,44,140.0,564.0,298.5
5,45,123.0,551.0,253.5
5,46,90.0,414.0,286.5
5,47,59.0,462.0,271.5
5,48,148.0,564.0,270.0
5,49,94.0,447.0,279.0
5,50,99.0,416.0,309.0
5,51,119.0,446.0,342.0
5,52,145.0,446.0,285.0
5,53,135.0,549.0,294.0
5,54,140.0,400.0,303.0
5,55,105.0,665.0,285.0
5,56,119.0,491.0,312.0
5,57,90.0,444.0,303.0
5,58,75.0,431.0,294.0
5,59,179.0,397.0,280.5
5,60,79.0,387.0,297.0
5,61,120.0,429.0,289.5
5,62,146.0,357.0,292.5
5,63,105.0,389.0,325.5
5,64,100.0,534.0,304.5
5,65,109.0,593.0,282.0
5,66,139.0,597.0,304.5
5,67,128.0,652.0,288.0
5,68,157.0,642.0,322.5
5,69,124.0,501.0,285.0
5,70,119.0,553.0,298.5
5,71,129.0,520.0,304.5
5,72,139.0,458.0,291.0
5,73,155.0,431.0,322.5
5,74,182.0,534.0,277.5
5,75,150.0,523.0,265.5
5,76,125.0,447.0,292.5
5,77,125.0,505.0,337.5
5,78,168.0,597.0,301.5
5,79,144.0,494.0,330.0
5,80,94.0,517.0,265.5
5,81,122.0,432.0,327.0
5,82,70.0,522.0,322.5
5,83,104.0,433.0,292.5
5,84,90.0,623.0,295.5
5,85,80.0,268.0,327.0
5,86,164.0,404.0,306.0
5,87,114.0,693.0,318.0
5,88,80.0,402.0,268.5
5,89,118.0,759.0,267.0
5,90,139.0,491.0,330.0
5,91,90.0,446.0,273.0
5,92,164.0,416.0,286.5
5,93,119.0,385.0,303.0
5,94,90.0,491.0,289.5
5,95,129.0,476.0,265.5
5,96,95.0,475.0,273.0
5,97,114.0,595.0,289.5
5,98,129.0,524.0,307.5
5,99,115.0,475.0,295.5
6,0,64.0,296.0,156.0
6,1,40.0,253.0,169.5
6,2,94.0,193.0,147.0
6,3,50.0,193.0,135.0
6,4,30.0,340.0,142.5
6,5,59.0,311.0,138.0
6,6,100.0,223.0,157.5
6,7,35.0,283.0,136.5
6,8,50.0,356.0,108.0
6,9,70.0,280.0,145.5
6,10,55.0,296.0,142.5
6,11,49.0,133.0,141.0
6,12,35.0,253.0,159.0
6,13,89.0,208.0,144.0
6,14,60.0,149.0,160.5
6,15,49.0,268.0,130.5
6,16,55.0,208.0,138.0
6,17,60.0,311.0,148.5
6,18,60.0,238.0,162.0
6,19,58.0,253.0,166.5
6,20,39.0,268.0,138.0
6,21,80.0,163.0,154.5
6,22,59.0,194.0,132.0
6,23,65.0,120.0,148.5
6,24,30.0,119.0,145.5
6,25,65.0,208.0,153.0
6,26,79.0,326.0,157.5
6,27,35.0,355.0,157.5
6,28,65.0,328.0,169.5
6,29,40.0,149.0,126.0
6,30,65.0,134.0,156.0
6,31,65.0,429.0,142.5
6,32,84.0,210.0,154.5
6,33,60.0,120.0,150.0
6,34,25.0,343.0,142.5
6,35,64.0,254.0,135.0
6,36,74.0,297.0,151.5
6,37,69.0,177.0,154.5
6,38,64.0,210.0,148.5
6,39,25.0,311.0,177.0
6,40,34.0,163.0,166.5
6,41,75.0,223.0,138.0
6,42,50.0,222.0,141.0
6,43,59.0,282.0,150.0
6,44,60.0,178.0,159.0
6,45,45.0,327.0,148.5
6,46,74.0,372.0,156.0
6,47,50.0,165.0,156.0
6,48,30.0,150.0,124.5
6,49,55.0,238.0,147.0
6,50,75.0,297.0,159.0
6,51,49.0,327.0,156.0
6,52,59.0,180.0,142.5
6,53,44.0,326.0,142.5
6,54,25.0,165.0,151.5
6,55,55.0,133.0,142.5
6,56,29.0,238.0,147.0
6,57,54.0,355.0,144.0
6,58,90.0,237.0,148.5
6,59,49.0,164.0,132.0
6,60,40.0,254.0,139.5
6,61,60.0,268.0,132.0
6,62,103.0,239.0,165.0
6,63,64.0,192.0,169.5
6,64,50.0,311.0,145.5
6,65,74.0,268.0,181.5
6,66,89.0,194.0,157.5
6,67,75.0,148.0,163.5
6,68,45.0,149.0,139.5
6,69,70.0,324.0,130.5
6,70,45.0,328.0,135.0
6,71,65.0,284.0,142.5
6,72,85.0,309.0,133.5
6,73,70.0,150.0,121.5
6,74,93.0,441.0,135.0
6,75,74.0,282.0,127.5
6,76,74.0,312.0,154.5
6,77,75.0,239.0,150.0
6,78,50.0,209.0,150.0
6,79,80.0,236.0,141.0
6,80,58.0,236.0,145.5
6,81,79.0,222.0,177.0
6,82,60.0,314.0,150.0
6,83,45.0,312.0,169.5
6,84,60.0,238.0,166.5
6,85,53.0,237.0,154.5
6,86,55.0,252.0,148.5
6,87,25.0,298.0,160.5
6,88,45.0,149.0,153.0
6,89,60.0,149.0,154.5
6,90,25.0,238.0,184.5
6,91,59.0,266.0,150.0
6,92,75.0,272.0,144.0
6,93,55.0,192.0,148.5
6,94,70.0,297.0,126.0
6,95,45.0,165.0,168.0
6,96,80.0,238.0,162.0
6,97,54.0,431.0,163.5
6,98,54.0,150.0,145.5
6,99,60.0,282.0,174.0
7,0,0.0,15.0,36.0
7,1,5.0,30.0,22.5
7,2,15.0,15.0,28.5
7,3,0.0,44.0,25.5
7,4,20.0,30.0,28.5
7,5,5.0,15.0,48.0
7,6,15.0,15.0,31.5
7,7,0.0,60.0,30.0
7,8,25.0,30.0,21.0
7,9,5.0,45.0,15.0
7,10,5.0,30.0,30.0
7,11,0.0,15.0,34.5
7,12,15.0,15.0,34.5
7,13,20.0,45.0,37.5
7,14,10.0,15.0,30.0
7,15,20.0,15.0,25.5
7,16,5.0,45.0,27.0
7,17,25.0,30.0,28.5
7,18,10.0,0.0,30.0
7,19,5.0,45.0,31.5
7,20,0.0,30.0,27.0
7,21,5.0,74.0,30.0
7,22,0.0,15.0,25.5
7,23,15.0,30.0,24.0
7,24,20.0,30.0,28.5
7,25,10.0,30.0,25.5
7,26,20.0,30.0,36.0
7,27,0.0,30.0,40.5
7,28,10.0,75.0,27.0
7,29,19.0,60.0,28.5
7,30,5.0,15.0,22.5
7,31,5.0,15.0,24.0
7,32,20.0,15.0,31.5
7,33,5.0,15.0,37.5
7,34,5.0,45.0,28.5
7,35,5.0,30.0,34.5
7,36,10.0,60.0,24.0
7,37,5.0,30.0,33.0
7,38,5.0,44.0,31.5
7,39,5.0,30.0,34.5
7,40,10.0,0.0,30.0
7,41,5.0,45.0,16.5
7,42,5.0,0.0,36.0
7,43,0.0,15.0,30.0
7,44,0.0,0.0,30.0
7,45,0.0,60.0,21.0
7,46,5.0,15.0,30.0
7,47,0.0,45.0,27.0
7,48,0.0,15.0,33.0
7,49,5.0,30.0,34.5
7,50,10.0,30.0,28.5
7,51,20.0,0.0,34.5
7,52,5.0,0.0,37.5
7,53,20.0,15.0,24.0
7,54,0.0,15.0,25.5
7,55,20.0,30.0,46.5
7,56,15.0,45.0,36.0
7,57,10.0,15.0,31.5
7,58,0.0,15.0,31.5
7,59,10.0,59.0,33.0
7,60,10.0,45.0,30.0
7,61,15.0,30.0,36.0
7,62,0.0,30.0,34.5
7,63,5.0,0.0,31.5
7,64,20.0,0.0,37.5
7,65,10.0,60.0,31.5
7,66,10.0,30.0,36.0
7,67,10.0,15.0,24.0
7,68,15.0,30.0,37.5
7,69,10.0,30.0,31.5
7,70,10.0,45.0,27.0
7,71,5.0,30.0,36.0
7,72,25.0,15.0,40.5
7,73,10.0,15.0,21.0
7,74,10.0,45.0,33.0
7,75,5.0,105.0,30.0
7,76,15.0,75.0,34.5
7,77,10.0,0.0,33.0
7,78,0.0,59.0,24.0
7,79,10.0,45.0,34.5
7,80,5.0,45.0,28.5
7,81,20.0,15.0,33.0
7,82,5.0,30.0,42.0
7,83,10.0,59.0,28.5
7,84,5.0,0.0,34.5
7,85,15.0,59.0,27.0
7,86,0.0,29.0,42.0
7,87,0.0,30.0,27.0
7,88,5.0,0.0,36.0
7,89,5.0,0.0,31.5
7,90,15.0,30.0,25.5
7,91,20.0,30.0,27.0
7,92,10.0,30.0,30.0
7,93,5.0,0.0,40.5
7,94,10.0,0.0,33.0
7,95,5.0,15.0,31.5
7,96,15.0,15.0,34.5
7,97,5.0,58.0,31.5
7,98,5.0,0.0,25.5
7,99,5.0,0.0,25.5
8,0,65.0,311.0,133.5
8,1,64.0,209.0,168.0
8,2,40.0,223.0,162.0
8,3,75.0,270.0,130.5
8,4,40.0,313.0,123.0
8,5,64.0,342.0,136.5
8,6,64.0,297.0,157.5
8,7,94.0,164.0,135.0
8,8,50.0,326.0,142.5
8,9,45.0,281.0,133.5
8,10,50.0,282.0,136.5
8,11,49.0,310.0,105.0
8,12,60.0,283.0,126.0
8,13,94.0,239.0,118.5
8,14,79.0,356.0,133.5
8,15,40.0,238.0,126.0
8,16,85.0,253.0,139.5
8,17,50.0,330.0,120.0
8,18,55.0,284.0,142.5
8,19,74.0,326.0,133.5
8,20,90.0,163.0,147.0
8,21,35.0,371.0,124.5
8,22,50.0,206.0,124.5
8,23,45.0,162.0,115.5
8,24,75.0,250.0,138.0
8,25,58.0,281.0,129.0
8,26,70.0,266.0,133.5
8,27,45.0,255.0,108.0
8,28,100.0,253.0,123.0
8,29,59.0,296.0,165.0
8,30,55.0,358.0,144.0
8,31,40.0,384.0,112.5
8,32,50.0,283.0,115.5
8,33,103.0,357.0,126.0
8,34,60.0,282.0,132.0
8,35,55.0,224.0,141.0
8,36,75.0,281.0,123.0
8,37,45.0,193.0,124.5
8,38,55.0,343.0,135.0
8,39,65.0,149.0,136.5
8,40,25.0,297.0,145.5
8,41,70.0,315.0,148.5
8,42,65.0,164.0,120.0
8,43,40.0,357.0,141.0
8,44,60.0,239.0,126.0
8,45,70.0,224.0,132.0
