Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1927285;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Fermi Bouwspecialiteiten;Aalsvoort 73;7241MB;LOCHEM;Gelderland; 0,11 ; 103 ;15; 100.499 ; Daksysteem ;;
SDE1927295;Biomassa;2019 Stoomketel op houtpellets >= 5 MW (HW/E);MPP II B.V.;Nieuwendijk 126;5712EP;SOMEREN;Noord-Brabant; 14,90 ; 126.650 ;12; 74.470.200 ; n.v.t. ;;
SDE1927303;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hotel Gorinchem-West Beheer B.V.;Van Hogendorpweg 8;4204XW;GORINCHEM;Zuid-Holland;0,09; 88 ;15; 86.142 ; Daksysteem ;;
SDE1927306;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;4 Seasons Capital B.V.;Aston Martinlaan 2;3261NB;OUD-BEIJERLAND;Zuid-Holland;0,03; 31 ;15; 30.567 ; Daksysteem ;;
SDE1927315;Biomassa;2019 Ketel vaste biomassa >= 5 MW staffel (HW/E);Comgoed Beheer B.V.;Zonnekracht 20;3255SC;OUDE-TONGE;Zuid-Holland; 14,90 ; 111.750 ;12; 44.253.000 ; n.v.t. ;;
SDE1927319;Zon;2019 Zon-PV >= 1 MWp daksystemen;De Maatjes B.V.;Maatje Harings Jobsweg 3;4307NL;OOSTERLAND;Zeeland; 1,55 ; 1.473 ;15; 1.435.688 ; Daksysteem ;;
SDE1927328;Wind op land;2019 Wind op land;Windpark Hoge Vaart-Zuid B.V.;Windplan Groen - HVZ-zuid;-;DRONTEN;Flevoland; 16,80 ; 65.567 ;15; 38.356.695 ; n.v.t. ;;
SDE1927338;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Arroyo Bulbs B.V.;Bosweg 12b;1756CG;'T ZAND NH;Noord-Holland; 0,20 ; 187 ;15; 179.072 ; Daksysteem ;;
SDE1927339;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnig Lochem B.V.;Lochem Afleidingskanaal;-;GORSSEL;Gelderland; 15,67 ; 14.890 ;15; 13.624.625 ; Veldsysteem ;;
SDE1927342;Zon;2019 Zon-PV >= 1 MWp daksystemen;Koopman International B.V.;Distelweg 88;1031HH;AMSTERDAM;Noord-Holland; 1,49 ; 1.411 ;15; 1.333.518 ; Daksysteem ;;
SDE1927343;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Alliander N.V.;Zwaagdijk 229;1684NG;ZWAAGDIJK-OOST;Noord-Holland; 0,02 ; 18 ;15; 17.784 ; Daksysteem ;;
SDE1927352;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;2685**;POELDIJK;Zuid-Holland;0,17; 157 ;15; 152.832 ; Daksysteem ;;
SDE1927353;Zon;2019 Zon-PV >= 1 MWp daksystemen;Ilovezonnepanelen B.V.;Noorderdracht 59a;1696AC;OOSTERBLOKKER;Noord-Holland; 2,30 ; 2.189 ;15; 2.134.080 ; Daksysteem ;;
SDE1927354;Groen gas;2019 Allesvergisting (HG);Agro-energie Hardenberg B.V.;Duitslandweg 1;7696KB;BRUCHT;Overijssel; 4,40 ; 35.168 ;12; 20.679.020 ; n.v.t. ;;
SDE1927379;Geothermie warmte;2019 Geothermie diepte >= 500 m (HW);Aardwarmte Combinatie Luttelgeest (ACL) B.V.;Lindeweg 39;8315RA;LUTTELGEEST;Flevoland; 20,00 ; 120.000 ;15; 70.200.000 ; n.v.t. ;;
SDE1927399;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Zesruit;Veldhuizen 3;7371GM;LOENEN GLD;Gelderland; 0,17 ; 163 ;15; 159.315 ; Daksysteem ;;
SDE1927404;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;J.P.G. Hulsebosch B.V.;Walserij 1;2211SJ;NOORDWIJKERHOUT;Zuid-Holland;0,32; 301 ;15; 293.455 ; Daksysteem ;;
SDE1927410;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Exploitatie Claris Zorgvilla Den Deijl B.V.;Rijksstraatweg 352-356;2242AC;WASSENAAR;Zuid-Holland;0,03; 29 ;15; 28.714 ; Daksysteem ;;
SDE1927414;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Christelijk Lyceum Zeist;Lindenlaan 23;3707EP;ZEIST;Utrecht; 0,09 ; 88 ;15; 86.142 ; Daksysteem ;;
SDE1927417;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Penning Freesia B.V.;Bospolder 21a;2675BL;HONSELERSDIJK;Zuid-Holland;0,24; 230 ;15; 224.153 ; Daksysteem ;;
SDE1927420;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gebr. Duijndam Holding B.V.;Smelterij 8;2211SH;NOORDWIJKERHOUT;Zuid-Holland;0,21; 198 ;15; 192.605 ; Daksysteem ;;
SDE1927424;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Machinefabriek J. de Wilde B.V.;Koningsschot 15;3905PP;VEENENDAAL;Utrecht; 0,33 ; 309 ;15; 287.456 ; Daksysteem ;;
SDE1927427;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Jansen Tholen B.V.;Slabbecoornweg 9;4691RZ;THOLEN;Zeeland; 0,09 ; 90 ;15; 86.413 ; Daksysteem ;;
SDE1927431;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;H. Mensen Projectontwikkeling B.V.;Zonnepark Emmer-Compascuum (20%-deel);-;EMMEN;Drenthe; 1,02 ; 971 ;15; 902.937 ; Veldsysteem ;;
SDE1927442;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van den Berge Yerseke B.V.;Capelleweg 13;4416PN;KRUININGEN;Zeeland; 0,04 ; 33 ;15; 32.419 ; Daksysteem ;;
SDE1927454;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1756**;'T ZAND NH;Noord-Holland; 0,25 ; 238 ;15; 231.563 ; Daksysteem ;;
SDE1927508;Zon;2019 Zon-PV >= 1 MWp daksystemen;Vanderlande Industries B.V.;Vanderlandelaan 2;5466RB;VEGHEL;Noord-Brabant; 1,60 ; 1.517 ;15; 1.479.222 ; Daksysteem ;;
SDE1927509;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Tjalkstraat 1;8102HG;RAALTE;Overijssel; 0,52 ; 496 ;15; 483.503 ; Daksysteem ;;
SDE1927513;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Platoo Bestuur voor Openbaar en Algemeen Toegankelijk Onderwijs;Pennekart 1;5674CK;NUENEN;Noord-Brabant; 0,02 ; 21 ;15; 20.563 ; Daksysteem ;;
SDE1927521;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Swanenberg Beheer B.V.;Dijk 22;6641LA;BEUNINGEN GLD;Gelderland; 0,21 ; 197 ;15; 191.734 ; Daksysteem ;;
SDE1927525;Zon;2019 Zon-PV >= 1 MWp daksystemen;Sun Invest 3 B.V.;Morsweg 13;7461AG;RIJSSEN;Overijssel; 1,20 ; 1.140 ;15; 1.111.500 ; Daksysteem ;;
SDE1927531;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Schouten & Muis B.V.;Glazenmakersweg 6;3449JK;WOERDEN;Utrecht; 0,08 ; 76 ;15; 74.100 ; Daksysteem ;;
SDE1927535;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5114**;CASTELRE;Noord-Brabant; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1927547;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Vereniging United World College Maastricht in Coöperatief Verband met Uitsluiting van Aansprakelijkheid (U.A.);Discusworp 65;6225XP;MAASTRICHT;Limburg; 0,40 ; 380 ;15; 364.800 ; Daksysteem ;;
SDE1927550;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6988**;LATHUM;Gelderland; 0,06 ; 60 ;15; 58.336 ; Daksysteem ;;
SDE1927553;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1382**;WEESP;Noord-Holland; 0,07 ; 67 ;15; 63.840 ; Daksysteem ;;
SDE1927560;Zon;2019 Zon-PV >= 1 MWp daksystemen;De Vaart B.V.;Vaartweg 78;5109RD;'S GRAVENMOER;Noord-Brabant; 1,55 ; 1.473 ;15; 1.435.688 ; Daksysteem ;;
SDE1927569;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark De Bergen B.V.;Bergen 26nabij;4844EN;TERHEIJDEN;Noord-Brabant; 11,30 ; 10.735 ;15; 10.144.575 ; Veldsysteem ;;
SDE1927589;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Dura Vermeer Bouw Hengelo B.V.;Herman Gorterstraat 55;3511EW;UTRECHT;Utrecht; 0,22 ; 207 ;15; 201.923 ; Daksysteem ;;
SDE1927592;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;RVA-Bethaniestraat 2;Booglaan 4;5261LV;VUGHT;Noord-Brabant; 0,08 ; 76 ;15; 74.100 ; Daksysteem ;;
SDE1927594;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hania Beheer B.V.;Brandemeer 9;8502TV;JOURE;Friesland; 0,18 ; 166 ;15; 162.094 ; Daksysteem ;;
SDE1927601;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;"""Rensa"" Exploitatie B.V.";Bedrijvenweg 10;7007CE;DOETINCHEM;Gelderland; 0,48 ; 456 ;15; 444.600 ; Daksysteem ;;
SDE1927614;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Danpoort International Abrasives B.V.;Kilweg 17;3336LL;ZWIJNDRECHT;Zuid-Holland;0,09; 86 ;15; 83.363 ; Daksysteem ;;
SDE1927621;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Pathé Theatres B.V.;Spui 65;2511BL;'S-GRAVENHAGE;Zuid-Holland;0,48; 452 ;15; 440.340 ; Daksysteem ;;
SDE1927648;Zon warmte;2019 Zonthermie >= 140 kW en < 1 MW;Utiliteit en Service Bedrijf Wieringermeer B.V.;Badweg 1;1771RV;WIERINGERWERF;Noord-Holland; 0,49 ; 344 ;15; 315.191 ; n.v.t. ;;
SDE1927655;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5624**;EINDHOVEN;Noord-Brabant; 0,06 ; 57 ;15; 55.575 ; Daksysteem ;;
SDE1927666;Wind op land;2019 Wind op land;***;***;2959**;STREEFKERK;Zuid-Holland;0,03; 55 ;15; 32.175 ; n.v.t. ;;
SDE1927667;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Zunneveld B.V.;Kanaalweg-Oost 103nabij;7793HA;HOOGENWEG;Overijssel; 14,60 ; 13.873 ;15; 13.109.844 ; Veldsysteem ;;
SDE1927668;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;N.J. Zeeman Beheer B.V.;Parallelweg 33nabij;1756ED;T ZAND;Noord-Holland; 4,04 ; 3.842 ;15; 3.630.501 ; Veldsysteem ;;
SDE1927676;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian II B.V.;Bijlmerplein 461;1102DM;AMSTERDAM;Noord-Holland; 0,16 ; 148 ;15; 140.049 ; Daksysteem ;;
SDE1927679;Zon warmte;2019 Zonthermie >= 140 kW en < 1 MW;Siza;Arnhemseweg 8;6991DN;RHEDEN;Gelderland; 0,14 ; 98 ;15; 95.550 ; n.v.t. ;;
SDE1927692;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian II B.V.;Bijlmerplein 92;1102DA;AMSTERDAM;Noord-Holland; 0,31 ; 297 ;15; 280.368 ; Daksysteem ;;
SDE1927706;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;2641**;PIJNACKER;Zuid-Holland;0,15; 142 ;15; 138.012 ; Daksysteem ;;
SDE1927710;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;KS NL11 B.V.;Zonnepark Hardenberg;-;HARDENBERG;Overijssel; 14,00 ; 13.300 ;15; 12.169.500 ; Veldsysteem ;;
SDE1927715;Wind op land;2019 Wind op land;Windpark Oldebroekertocht 3 B.V.;Windplan Groen - OBT-noord;-;DRONTEN;Flevoland; 22,40 ; 88.679 ;15; 51.877.215 ; n.v.t. ;;
SDE1927718;Wind op land;2019 Wind op land;***;***;3882**;PUTTEN;Gelderland; 0,01 ; 28 ;15; 18.563 ; n.v.t. ;;
SDE1927769;Wind op land;2019 Wind op land;Windpark XY Wind B.V.;XY4;-;DRONTEN;Flevoland; 12,00 ; 35.473 ;15; 20.751.705 ; n.v.t. ;;
SDE1927778;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Technische Dienst Europoort.NL B.V.;Seggelant-West 5;3237MJ;VIERPOLDERS;Zuid-Holland;0,07; 67 ;15; 64.838 ; Daksysteem ;;
SDE1927789;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6741**;LUNTEREN;Gelderland; 0,35 ; 335 ;15; 321.936 ; Daksysteem ;;
SDE1927790;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;7051 HT 6 B.V.;Guldenweg 6;7051HT;VARSSEVELD;Gelderland; 0,35 ; 334 ;15; 326.040 ; Daksysteem ;;
SDE1927798;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Scheepsbouwweg 7;3089JW;ROTTERDAM;Zuid-Holland;0,05; 47 ;15; 45.668 ; Daksysteem ;;
SDE1927815;Wind op land;2019 Wind op land;Windpark XY Wind B.V.;XY1;-;DRONTEN;Flevoland; 5,60 ; 22.164 ;15; 12.965.940 ; n.v.t. ;;
SDE1927832;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;2924**;KRIMPEN AAN DEN IJSSEL;Zuid-Holland;0,13; 119 ;15; 115.782 ; Daksysteem ;;
SDE1927851;Zon warmte;2019 Zonthermie >= 140 kW en < 1 MW;***;***;5683**;BEST;Noord-Brabant; 0,18 ; 126 ;15; 122.973 ; n.v.t. ;;
SDE1927863;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Albert Plesmanweg 117;3088GC;ROTTERDAM;Zuid-Holland;0,32; 308 ;15; 299.874 ; Daksysteem ;;
SDE1927868;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;2371**;ROELOFARENDSVEEN;Zuid-Holland;0,21; 195 ;15; 189.882 ; Daksysteem ;;
SDE1927884;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;3737**;GROENEKAN;Utrecht; 0,04 ; 41 ;15; 39.829 ; Daksysteem ;;
SDE1927890;Wind op land;2019 Wind op land;Waterschap Rijn en IJssel;Windpark IJsselwind WT3;-;ZUTPHEN;Gelderland; 3,60 ; 9.964 ;15; 6.875.160 ; n.v.t. ;;
SDE1927892;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;KS NL9 B.V.;Zonnepark Fluitenberg;-;HOOGEVEEN;Drenthe; 4,30 ; 4.085 ;15; 3.737.775 ; Veldsysteem ;;
SDE1927902;Zon;2019 Zon-PV >= 1 MWp daksystemen;Eneco Solar, Bio & Hydro B.V.;Belgieweg Oost 1;4455TT;NIEUWDORP ZLD;Zeeland; 1,85 ; 1.758 ;15; 1.713.563 ; Daksysteem ;;
SDE1927904;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;***;***;7223**;BAAK;Gelderland; 2,35 ; 2.233 ;15; 2.110.611 ; Veldsysteem ;;
SDE1927914;Biomassa;2019 Ketel vaste biomassa >= 5 MW staffel (HW/E);Host Agriport B.V.;Plukmadeweg 30;9241AW;MADE;Noord-Brabant; 17,50 ; 122.500 ;12; 49.980.000 ; n.v.t. ;;
SDE1927915;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Sportbedrijf Rotterdam B.V.;Slaak 15;3061CR;ROTTERDAM;Zuid-Holland;0,25; 238 ;15; 231.563 ; Daksysteem ;;
SDE1927923;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5595**;LEENDE;Noord-Brabant; 0,31 ; 290 ;15; 278.160 ; Daksysteem ;;
SDE1927932;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Helios Opco B.V.;Ranselgatweg 2;9979XE;EEMSHAVEN;Groningen; 27,00 ; 25.650 ;15; 23.854.500 ; Veldsysteem ;;
SDE1927941;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Ames Autobedrijf B.V.;Mijlweg 33;3316BE;DORDRECHT;Zuid-Holland;0,06; 59 ;15; 57.428 ; Daksysteem ;;
SDE1927947;Wind op land;2019 Wind op land;Olsterwind B.V.;OST-C;-;DRONTEN;Flevoland; 16,80 ; 66.215 ;15; 38.735.775 ; n.v.t. ;;
SDE1927950;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;8263**;KAMPEN;Overijssel; 0,59 ; 562 ;15; 522.591 ; Veldsysteem ;;
SDE1927951;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;NS Groep N.V.;Locomotiefstraat 100;3534BK;UTRECHT;Utrecht; 0,14 ; 133 ;15; 129.675 ; Daksysteem ;;
SDE1927962;Zon warmte;2019 Zonthermie >= 140 kW en < 1 MW;Industriepark Kleefse Waard Real Estate B.V.;Westervoortsedijk 73;6827AV;ARNHEM;Gelderland; 0,49 ; 343 ;15; 334.425 ; n.v.t. ;;
SDE1927964;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;"Vereniging van Eigenaars ""Eikenburg"" aan de Eikenburg 52 tot EN Met 154 (Even Nummers) te Eersel";Eikenburg 52t/m 154;5521HW;EERSEL;Noord-Brabant; 0,04 ; 36 ;15; 35.198 ; Daksysteem ;;
SDE1927981;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;De Klerk Vastgoed B.V.;Hulsenboschstraat 6;4251LR;WERKENDAM;Noord-Brabant; 0,11 ; 105 ;15; 101.888 ; Daksysteem ;;
SDE1928006;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian I B.V.;Plein '40-'45 9;1063KR;AMSTERDAM;Noord-Holland; 0,20 ; 193 ;15; 182.244 ; Daksysteem ;;
SDE1928026;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;9672**;WINSCHOTEN;Groningen; 0,10 ; 97 ;15; 94.478 ; Daksysteem ;;
SDE1928032;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Landgoed Anderstein N.V.;Brummelsbergen 1;3953MT;MAARN;Utrecht; 0,03 ; 32 ;15; 31.400 ; Daksysteem ;;
SDE1928033;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hesp Solar B.V.;Oudelandseweg 55;2981BT;RIDDERKERK;Zuid-Holland;0,60; 570 ;15; 547.200 ; Daksysteem ;;
SDE1928055;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6744**;EDERVEEN;Gelderland; 0,35 ; 334 ;15; 321.024 ; Daksysteem ;;
SDE1928065;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1732**;LUTJEWINKEL;Noord-Holland; 0,21 ; 201 ;15; 193.344 ; Daksysteem ;;
SDE1928066;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);De Linge Pluimvee B.V.;Adelhofstraat 2;6676LC;HOMOET;Gelderland; 0,54 ; 856 ;12; 349.248 ; n.v.t. ;;
SDE1928071;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;NN Insurance Eurasia N.V.;Schenkkade 65;2595AS;'S-GRAVENHAGE;Zuid-Holland;0,06; 53 ;15; 51.870 ; Daksysteem ;;
SDE1928083;Geothermie warmte;2019 Geothermie diepte >= 500 m (HW);Wayland Energy B.V.;Abraham Molenaarweg 10nabij;2651KK;BERKEL EN RODENRIJS;Zuid-Holland; 32,11 ; 192.660 ;15; 112.706.100 ; n.v.t. ;;
SDE1928098;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonneparken Someren B.V.;Lungendonk 16;5715PA;LIEROP;Noord-Brabant; 4,84 ; 4.602 ;15; 4.348.701 ; Veldsysteem ;;
SDE1928106;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Postnl Real Estate B.V.;Grote Wade 80;3439NT;NIEUWEGEIN;Utrecht; 0,58 ; 553 ;15; 530.784 ; Daksysteem ;;
SDE1928120;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6351**;BOCHOLTZ;Limburg; 0,39 ; 366 ;15; 351.120 ; Daksysteem ;;
SDE1928123;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Noordzeeboulevard 501;3199LV;MAASVLAKTE ROTTERDAM;Zuid-Holland;0,04; 34 ;15; 32.816 ; Daksysteem ;;
SDE1928126;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Eneco Solar, Bio & Hydro B.V.;Vareseweg 21;3047AT;ROTTERDAM;Zuid-Holland;0,06; 57 ;15; 54.720 ; Daksysteem ;;
SDE1928152;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Libri Arte Finance B.V.;Flevolaan 6-8;1382JZ;WEESP;Noord-Holland; 0,26 ; 247 ;15; 237.120 ; Daksysteem ;;
SDE1928166;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Heidehof B.V.;De Cocq van Haeftenstraat 46;5864BB;MEERLO;Limburg; 0,22 ; 209 ;15; 203.775 ; Daksysteem ;;
SDE1928171;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Groenleven;Zonnepark Lemsterhoek;-;LEMMER;Friesland; 34,36 ; 32.646 ;15; 28.891.533 ; Veldsysteem ;;
SDE1928186;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;R.F.I. van Kempen Holding B.V.;Industrieweg Oost 7b-f;6662NE;ELST GLD;Gelderland; 0,12 ; 114 ;15; 111.150 ; Daksysteem ;;
SDE1928191;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Apeldoorn II B.V.;Laan van Zodiak 500a;7324BC;APELDOORN;Gelderland; 2,81 ; 2.671 ;15; 2.524.473 ; Veldsysteem ;;
SDE1928200;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hil-Coatings B.V.;Nieuwe Havenweg 57h;1216BN;HILVERSUM;Noord-Holland; 0,48 ; 456 ;15; 430.920 ; Daksysteem ;;
SDE1928202;Zon;2019 Zon-PV >= 1 MWp daksystemen;***;***;6911**;PANNERDEN;Gelderland; 1,00 ; 950 ;15; 926.250 ; Daksysteem ;;
SDE1928234;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Beheer Huize Hoevelaken;Westerdorpsstraat 68;3871AZ;HOEVELAKEN;Gelderland; 0,03 ; 30 ;15; 29.640 ; Daksysteem ;;
SDE1928242;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Kiefte 6;7151HZ;EIBERGEN;Gelderland; 0,38 ; 362 ;15; 352.902 ; Daksysteem ;;
SDE1928256;Geothermie warmte;2019 Geothermie diepte >= 500 m (HW);Energie Transitie Partners B.V.;Lange Kruisweg 26;2676BL;MAASDIJK;Zuid-Holland; 20,36 ; 122.160 ;15; 71.463.600 ; n.v.t. ;;
SDE1928264;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hand.- & Transp.Bedr. Mostert & v.d. Weg B.V.;Domstraat 60a;3864PR;NIJKERKERVEEN;Gelderland; 0,17 ; 160 ;15; 155.610 ; Daksysteem ;;
SDE1928279;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);***;***;1331**;ALMERE;Flevoland; 0,95 ; 2.850 ;12; 1.162.800 ; n.v.t. ;;
SDE1928280;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Divers Pack;Glazenmakersweg 8;3449JK;WOERDEN;Utrecht; 0,25 ; 238 ;15; 231.563 ; Daksysteem ;;
SDE1928282;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Pathé Theatres B.V.;Pannekoekendijk 11;8011BJ;ZWOLLE;Overijssel; 0,16 ; 149 ;15; 145.051 ; Daksysteem ;;
SDE1928290;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Nadruk 2 B.V.;Witte de Withstraat 63;3012BN;ROTTERDAM;Zuid-Holland;0,20; 188 ;15; 183.398 ; Daksysteem ;;
SDE1928300;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Standvast Wonen;Bongerdstraat 1-59;6641BG;BEUNINGEN;Gelderland; 0,06 ; 55 ;15; 53.723 ; Daksysteem ;;
SDE1928303;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Schouten Holding Uddel B.V.;Uddelerveen 65;3888ML;UDDEL;Gelderland; 0,32 ; 303 ;15; 295.474 ; Daksysteem ;;
SDE1928316;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zon Direct Groningen B.V.;Evertsweg;-;GRONINGEN;Groningen; 12,05 ; 11.444 ;15; 10.470.986 ; Veldsysteem ;;
SDE1928324;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Boro Holding Giesbeek B.V.;Ratio 1;6921RW;DUIVEN;Gelderland; 0,11 ; 108 ;15; 105.037 ; Daksysteem ;;
SDE1928326;Wind op land;2019 Wind op land;***;***;7961**;RUINERWOLD;Drenthe; 0,02 ; 28 ;15; 16.380 ; n.v.t. ;;
SDE1928328;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Dacomex B.V.;Provincialeweg 46;4695RK;SINT-MAARTENSDIJK;Zeeland; 0,24 ; 223 ;15; 214.320 ; Daksysteem ;;
SDE1928341;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van der Kooy Vastgoed B.V.;Boris Pasternaklaan 12-20;2719DA;ZOETERMEER;Zuid-Holland;0,05; 48 ;15; 46.313 ; Daksysteem ;;
SDE1928345;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6325**;BERG EN TERBLIJT;Limburg; 0,07 ; 70 ;15; 68.469 ; Daksysteem ;;
SDE1928346;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Qumey Beheer B.V.;Handelsweg 1;3606AA;MAARSSEN;Utrecht; 0,26 ; 247 ;15; 240.825 ; Daksysteem ;;
SDE1928353;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Scheepsbouwweg 15;3089JW;ROTTERDAM;Zuid-Holland;0,05; 47 ;15; 45.668 ; Daksysteem ;;
SDE1928372;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Veeneman Bouw B.V.;Zutphensestraat 299;7325WT;APELDOORN;Gelderland; 0,10 ; 95 ;15; 91.200 ; Daksysteem ;;
SDE1928383;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;RVA-Bethaniestraat 2;Carillonlaan 6;5261LT;VUGHT;Noord-Brabant; 0,13 ; 119 ;15; 115.782 ; Daksysteem ;;
SDE1928387;Zon;2019 Zon-PV >= 1 MWp daksystemen;Evenementenhal Hardenberg I B.V.;Energieweg 2;7772TV;HARDENBERG;Overijssel; 1,40 ; 1.330 ;15; 1.296.750 ; Daksysteem ;;
SDE1928395;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Eteck Warmte Nieuw Kijkduin B.V.;Deltaplein 238;2554GW;'S-GRAVENHAGE;Zuid-Holland;0,02; 21 ;15; 20.520 ; Daksysteem ;;
