Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1920425;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Westerlengte 2;8081PZ;ELBURG;Gelderland; 0,21 ; 200 ;15; 194.513 ; Daksysteem ;;
SDE1920459;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;3421**;OUDEWATER;Utrecht; 0,14 ; 128 ;15; 125.044 ; Daksysteem ;;
SDE1920467;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Elkor Elektrotechniek B.V.;Kromzaad 1;4703RD;ROOSENDAAL;Noord-Brabant; 0,08 ; 76 ;15; 74.100 ; Daksysteem ;;
SDE1920469;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;De Vreening B.V.;Welysestraat 11;6669DG;DODEWAARD;Gelderland; 0,25 ; 237 ;15; 227.636 ; Daksysteem ;;
SDE1920475;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Ballast Nedam Infra B.V.;Pinksterblom-strjitte 2;9288AG;KOOTSTERTILLE;Friesland; 0,85 ; 810 ;15; 789.750 ; Daksysteem ;;
SDE1920490;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;De Hoge Dennen Holding B.V.;Boterpolderlaan 11;4941ZL;RAAMSDONKSVEER;Noord-Brabant; 0,37 ; 353 ;15; 338.553 ; Daksysteem ;;
SDE1920492;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Couwenberg Metaal en Spuiterij B.V.;Hallenstraat 6;5531AB;BLADEL;Noord-Brabant; 0,48 ; 456 ;15; 430.920 ; Daksysteem ;;
SDE1920495;Wind op land;2019 Wind op land;***;***;9944**;NIEUWOLDA;Groningen; 0,05 ; 85 ;15; 42.075 ; n.v.t. ;;
SDE1920514;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;***;***;-;HARENKARSPEL;Noord-Holland; 13,47 ; 12.795 ;15; 12.090.897 ; Veldsysteem ;;
SDE1920518;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Dutch Garden Group B.V.;Voor-Oventje 33;5411NR;ZEELAND;Noord-Brabant; 0,14 ; 129 ;15; 125.970 ; Daksysteem ;;
SDE1920519;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5971**;GRUBBENVORST;Limburg; 0,13 ; 124 ;15; 118.560 ; Daksysteem ;;
SDE1920523;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kraanbedrijf Nederhoff B.V.;Placotiweg 4b;4131NL;VIANEN UT;Utrecht; 0,03 ; 31 ;15; 29.626 ; Daksysteem ;;
SDE1920533;Zon;2019 Zon-PV >= 1 MWp daksystemen;Dijkshoorn Bleiswijk B.V.;Cyclamenweg (kadaster Bleiswijk D 3698) 1;2665NB;BLEISWIJK;Zuid-Holland;2,79; 2.649 ;15; 2.582.385 ; Daksysteem ;;
SDE1920537;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;7245**;LAREN GLD;Gelderland; 0,49 ; 466 ;15; 453.863 ; Daksysteem ;;
SDE1920549;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Fledderbosch B.V.;Zonnepark Fledderbosch Wierda;-;TEN BOER;Groningen; 48,40 ; 45.980 ;15; 42.761.400 ; Veldsysteem ;;
SDE1920556;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Karakter Energie B.V.;Zonneweide Californie Horst;-;HORST;Limburg; 8,27 ; 7.857 ;15; 7.424.393 ; Veldsysteem ;;
SDE1920558;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Petanquecentrum Nieuwegein;Galecopperzoom 1;3437PJ;NIEUWEGEIN;Utrecht; 0,23 ; 214 ;15; 208.407 ; Daksysteem ;;
SDE1920577;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Waterschap Noorderzijlvest;Aduarderdiep 3a;9892TC;FEERWERD;Groningen; 0,09 ; 89 ;15; 87.068 ; Veldsysteem ;;
SDE1920582;Zon;2019 Zon-PV >= 1 MWp daksystemen;Eneco Solar, Bio & Hydro B.V.;Sionsdreef 2;2635BS;DEN HOORN ZH;Zuid-Holland;1,49; 1.411 ;15; 1.354.320 ; Daksysteem ;;
SDE1920588;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;M. van der Wal Holding B.V.;Kerkweg 23;3214VB;ZUIDLAND;Zuid-Holland;0,09; 86 ;15; 83.363 ; Daksysteem ;;
SDE1920590;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Verhuurbedrijf A. Kuijf en Zonen B.V.;Bedrijfsweg 15-17;2421LE;NIEUWKOOP;Zuid-Holland;0,13; 119 ;15; 115.782 ; Daksysteem ;;
SDE1920602;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5421**;GEMERT;Noord-Brabant; 0,40 ; 380 ;15; 370.500 ; Daksysteem ;;
SDE1920609;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Neerbroek Groentekwekerij B.V.;Neerbroek 23a;5427PS;BOEKEL;Noord-Brabant; 0,27 ; 257 ;15; 250.088 ; Daksysteem ;;
SDE1920622;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6065**;MONTFORT;Limburg; 0,14 ; 135 ;15; 131.528 ; Daksysteem ;;
SDE1920635;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Blue Workx Holding B.V.;Groethofstraat 24;5916PB;VENLO;Limburg; 0,24 ; 226 ;15; 220.448 ; Daksysteem ;;
SDE1920647;Biomassa;2019 Ketel vaste biomassa >= 5 MW staffel (HW/E);Hoogweg Paprikakwekerijen B.V.;Nieuwlandseweg 2;8316KZ;MARKNESSE;Flevoland; 20,70 ; 93.150 ;12; 40.240.800 ; n.v.t. ;;
SDE1920651;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Vondelingenweg 524-528;3196KK;VONDELINGENPLAAT RT;Zuid-Holland;0,03; 24 ;15; 23.562 ; Daksysteem ;;
SDE1920654;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van der Vlist Beheer B.V.;Griendweg 81;4209DB;SCHELLUINEN;Zuid-Holland;0,10; 94 ;15; 91.588 ; Daksysteem ;;
SDE1920658;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Interfood B.V.;Lange Trekken 42;5531PZ;BLADEL;Noord-Brabant; 0,07 ; 62 ;15; 58.354 ; Daksysteem ;;
SDE1920666;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Schipper Kozijnen B.V.;Middelweg 11;1716KB;OPMEER;Noord-Holland; 0,36 ; 342 ;15; 333.450 ; Daksysteem ;;
SDE1920670;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Wieap Beheer B.V.;Harderwijkerstraat 6a;7418BA;DEVENTER;Overijssel; 0,65 ; 618 ;15; 602.063 ; Daksysteem ;;
SDE1920674;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Warehouses De Pauw Nederland N.V.;Prismalaan Oost 17;-;BLEISWIJK;Zuid-Holland;0,98; 926 ;15; 861.413 ; Daksysteem ;;
SDE1920695;Wind op land;2019 Wind op land;***;***;4306**;NIEUWERKERK;Zeeland; 0,03 ; 72 ;15; 35.640 ; n.v.t. ;;
SDE1920701;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;DWA Installatie- en Energieadvies;Harderwijkweg 7;2803PW;GOUDA;Zuid-Holland;0,05; 44 ;15; 42.608 ; Daksysteem ;;
SDE1920723;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Wetering Potlilium B.V.;Veenakkerweg 17;2635NC;DEN HOORN ZH;Zuid-Holland;0,50; 474 ;15; 455.088 ; Daksysteem ;;
SDE1920731;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Aannemersbedrijf Van Kleef B.V.;Haarbos 4;3953HA;MAARSBERGEN;Utrecht; 0,12 ; 113 ;15; 110.224 ; Daksysteem ;;
SDE1920739;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hapi Arnhem Onroerend Goed B.V.;Malburgseveerweg 10;6833HK;ARNHEM;Gelderland; 0,22 ; 213 ;15; 207.480 ; Daksysteem ;;
SDE1920744;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Energy Outsourcing Solutions B.V.;Amsterdamlaan 2;3137RK;VLAARDINGEN;Zuid-Holland; 0,52 ; 1.250 ;12; 510.000 ; n.v.t. ;;
SDE1920750;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Zorggroep Noord- en Midden-Limburg;Kapittellaan 31;6077BK;SINT ODILIENBERG;Limburg; 0,15 ; 143 ;15; 136.800 ; Daksysteem ;;
SDE1920756;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Zwembad Abcoude;Geinplein 3;1391JN;ABCOUDE;Utrecht; 0,11 ; 104 ;15; 100.962 ; Daksysteem ;;
SDE1920757;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kuivenhoven Potplanten Poeldijk B.V.;De Poel 45;2685LS;POELDIJK;Zuid-Holland;0,25; 239 ;15; 233.415 ; Daksysteem ;;
SDE1920760;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;D.B. Management B.V.;Brugdam 20;4926CS;LAGE ZWALUWE;Noord-Brabant; 0,50 ; 473 ;15; 461.273 ; Daksysteem ;;
SDE1920768;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gezondheidscentrum Lloyd's Terras B.V.;Lloydsterras 6;9641DZ;VEENDAM;Groningen; 0,18 ; 166 ;15; 162.094 ; Daksysteem ;;
SDE1920780;Wind op land;2019 Wind op land;ESK Harlingen B.V.;Curiestraat 13;8861NB;HARLINGEN;Friesland; 3,00 ; 7.378 ;15; 3.209.430 ; n.v.t. ;;
SDE1920795;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Wimmer Groep B.V.;Windmolenbosweg 1;6081PE;HAELEN;Limburg; 0,19 ; 181 ;15; 175.988 ; Daksysteem ;;
SDE1920809;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Eemhavenweg 14;3089KG;ROTTERDAM;Zuid-Holland;0,03; 24 ;15; 23.305 ; Daksysteem ;;
SDE1920825;Wind op land;2019 Wind op land;Windpark Hoge Vaart-Zuid B.V.;Windplan Groen - HVZ-noord;-;DRONTEN;Flevoland; 22,40 ; 88.724 ;15; 51.903.540 ; n.v.t. ;;
SDE1920827;Wind op land;2019 Wind op land;Wij Windenergie Staphorst B.V.;Windpark Bovenwind;-;STAPHORST;Overijssel; 13,50 ; 50.674 ;15; 29.644.290 ; n.v.t. ;;
SDE1920829;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Dura Vermeer Bouw Hengelo B.V.;Herman Gorterstraat 75;3511EW;UTRECHT;Utrecht; 0,26 ; 248 ;15; 241.752 ; Daksysteem ;;
SDE1920831;Geothermie warmte;2019 Geothermie diepte >= 500 m (HW);Energie Transitie Partners B.V.;Middenzwet 5;2291HM;WATERINGEN;Zuid-Holland; 26,40 ; 158.400 ;15; 92.664.000 ; n.v.t. ;;
SDE1920834;Wind op land;2019 Wind op land;Windpark Kubbeweg 2 B.V.;KW5;-;DRONTEN;Flevoland; 16,80 ; 68.520 ;15; 40.084.200 ; n.v.t. ;;
SDE1920835;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Exploitatiemaatschappij 't Nieuwe Hooge Holt B.V.;Boslaan 1;7783DD;GRAMSBERGEN;Overijssel; 0,27 ; 259 ;15; 245.086 ; Daksysteem ;;
